title;text;date;link
La opinión de la CIJ que declara ilegal la ocupación israelí de territorios palestinos es una vindicación histórica de los derechos de la población palestina;"En respuesta a la historica opinion consultiva emitida hoy por la Corte Internacional de Justicia CIJ sobre la legalidad de las politicas y practicas de Israel en los Territorios Palestinos Ocupados TPO y las consecuencias de la conducta de Israel para otros Estados y para la ONU Erika Guevara Rosas directora general de Investigacion Incidencia Politica y Campanas de Amnistia Internacional ha declarado
La Corte Internacional de Justicia ha emitido su opinion y su conclusion suena alto y claro La ocupacion y la anexion de los territorios palestinos por parte de Israel son ilegales y las leyes y politicas israelies que discriminan a la poblacion palestina violan la prohibicion de la segregacion racial y del apartheid
Esta es una vindicacion historica de los derechos de la poblacion palestina que lleva soportando decenios de crueldad y violaciones sistematicas de los derechos humanos derivadas de la ocupacion ilegal de Israel
La ocupacion es un pilar clave del sistema de apartheid que Israel utiliza para dominar y oprimir a la poblacion palestina y que es la causante de un sufrimiento a gran escala La poblacion palestina ha sido testigo de la demolicion de sus hogares y de la expropiacion de sus tierras para construir y ampliar asentamientos y se enfrenta a restricciones asfixiantes que alteran todos los aspectos de su vida cotidiana desde la separacion de las familias y las restricciones a la libertad de circulacion hasta la denegacion del acceso a la tierra el agua y los recursos naturales
La opinion de la CIJ llega cuando Israel lleva nueve meses incumpliendo de forma flagrante el derecho internacional humanitario a una escala catastrofica mediante ataques mortales e ilegitimos durante su ofensiva en la Franja de Gaza ocupada que se han cobrado un numero sin precedentes de victimas civiles Israel tambien ha intensificado la apropiacion ilegal de tierras en la Cisjordania ocupada y ha autorizado la construccion de un numero cada vez mayor de unidades de asentamiento en la Jerusalen Oriental ocupada y anexada ilegalmente lo que en la practica afianza y perpetua la ocupacion ilegal Las autoridades israelies tambien incumplen sistematicamente las medidas provisionales ordenadas por la CIJ para prevenir el genocidio en Gaza No se debe permitir que Israel siga pisoteando el derecho internacional
La comunidad internacional y en particular los aliados de Israel debe tomar ahora medidas inequivocas para garantizar que Israel pone fin a su ocupacion ilegal comenzando por detener de inmediato la expansion de los asentamientos israelies y revertir la anexion de territorio palestino incluida Jerusalen Oriental y desmantelar su brutal sistema de apartheid contra la poblacion palestina Poner fin a la ocupacion es crucial para detener la constante recurrente de violaciones de derechos humanos en todo Israel y los Territorios Palestinos Ocupados
Israel debe retirar sus fuerzas de todas las partes de los territorios ocupados incluida la Franja de Gaza y retirar a todos los colonos de Cisjordania incluida la Jerusalen Oriental anexada ilegalmente Ademas debe renunciar al control de todos los aspectos de la vida de la poblacion palestina asi como ceder el control de las fronteras los recursos naturales el espacio aereo y las aguas territoriales del territorio ocupado Esto significa levantar el bloqueo ilegal de Gaza y permitir que la poblacion palestina viaje libremente entre Gaza y Cisjordania
Informacion complementaria
La Corte Internacional de Justicia CIJ emitio su opinion consultiva sobre las consecuencias juridicas derivadas de las politicas y practicas de Israel en los Territorios Palestinos Ocupados TPO y las consecuencias de la conducta de Israel para otros Estados tras un proceso de 18 meses que incluyo audiencias publicas en las que participaron mas de 50 Estados incluida Palestina y tres organizaciones internacionales La tan esperada opinion consultiva declara que la ocupacion israeli de territorios palestinos es una violacion flagrante del derecho internacional
En julio de 2004 la CIJ emitio una primera opinion consultiva en la que concluyo que habia que detener la construccion del muro de separacion dentro de los Territorios Palestinos Ocupados porque era contraria al derecho internacional  Amnistia Internacional tambien habia argumentado que la construccion del muro viola el derecho internacional y contribuye a la comision de violaciones graves de los derechos humanos
El hecho de que la comunidad internacional no haya aplicado las recomendaciones de la opinion consultiva de la CIJ de 2004 ha alentado el desafio de Israel al derecho internacional y reforzado su impunidad";19-07-2024;https://www.amnesty.org/es/latest/news/2024/07/icj-opinion-declaring-israels-occupation-of-palestinian-territories-unlawful-is-historic-vindication-of-palestinians-rights/
Israel ha matado en Gaza a más niños que hombres y mujeres;"El Comite sobre los Derechos del Nino condeno este jueves en los terminos mas energicos los ataques Israel contra objetivos civiles en la Franja de Gaza que causaron la muerte de mas de 16756 ninos y heridas a al menos 6168 ninos entre el 7 de octubre de 2023 y el 10 de septiembre de 2024 y se presume que miles mas han muerto bajo los escombros
Mas ninos han muerto en esta guerra que mujeres y hombres Eso es masivo dijo Ann Skelton la presidenta del Comite Matar a civiles en esta escala es inaceptable bajo el derecho humanitario internacional y el derecho internacional de los derechos humanos Los ninos son siempre civiles anadio
El informe senala que como resultado de los ataques indiscriminados y desproporcionados utilizando armas explosivas con efectos de gran alcance en zonas densamente pobladas y su denegacion de acceso humanitario al menos un millon de ninos han sido desplazados 21000 ninos estan dados por desaparecidos 20000 ninos han perdido a uno o ambos progenitores 17000 se encuentran solos o separados de sus familias decenas han muerto por desnutricion y 3500 ninos estan en riesgo de muerte por la falta de alimentos
Secuestros y detenciones arbitrarias de ninos
No creo que hayamos visto antes una violacion tan masiva como la que hemos visto en Gaza Hay tres violaciones de las seis mas graves que no queda duda de que Israel comete matar y mutilar a ninos atacar hospitales y escuelas y denegar el acceso humanitario Estas son violaciones extremadamente graves que no solemos ver sostuvo Bragi Gudbrandsson vicepresidente del Comite a los periodistas La muerte indignante de ninos es casi unica en la historia Este es un momento extremadamente oscuro en la historia
El Comite tambien denuncio los continuos secuestros detenciones arbitrarias y reclusiones prolongadas de un gran numero de ninos palestinos a manos de las fuerzas israelies la mayoria de ellos sin cargos juicio o acceso a representacion letrada o contacto con sus familiares
Continuan los asentamientos ilegales
En una sesion en el Consejo de Seguridad para abordar la aplicacion de la resolucion 2334 el coordinador especial para el proceso de paz de Oriente Medio hizo un llamamiento a todas las partes a que tomen medidas inmediatas para reducir la tension tras las explosiones en todo el Libano y los cohetes lanzados hacia Israel en los ultimos dias
A continuacion Tor Wennesland destaco que los asentamientos han continuado entre 11 de junio al 11 de septiembre periodo que cubre su informe En total se construyeron o aprobaron unas 6370 viviendas en asentamientos de la Cisjordania ocupada incluida Jerusalen Este
Las autoridades israelies demolieron confiscaron u obligaron a demoler 373 estructuras desplazando a mas de 550 personas entre ellas 250 ninos
Wennesland se refirio a la opinion emitida por la Corte Internacional de Justicia el pasado 19 de julio que concluyo que el Estado de Israel tiene la obligacion de cesar inmediatamente todas las nuevas actividades de asentamiento y de evacuar a todos los colonos del Territorio Palestino Ocupado
Respecto a Gaza al menos 3920 palestinos murieron y al menos 10200 resultaron heridos entre el 11 de junio y el 11 de septiembre segun el Ministerio de Sanidad de la Franja Desde el 7 de octubre la cifra asciende a mas de 41000 palestinos muertos la mayoria mujeres y ninos
En este sentido Wenneland reitero su llamamiento a un alto el fuego inmediato en Gaza y la liberacion inmediata e incondicional de todos los rehenes
Resolucion 2334
La resolucion 2334 fue adoptada el 23 de diciembre de 2016 con 14 votos a favor de los 15 miembros del Consejo y la abstencion de Estados Unidos y exigio que Israel cesara todas las actividades de asentamiento en el territorio palestino ocupado incluida Jerusalen Este lo cual era esencial para salvar la solucion de dos Estados
Tambien pidio medidas inmediatas para prevenir todos los actos de violencia contra civiles";19-09-2024;https://news.un.org/es/story/2024/09/1532906
ICE detiene a estudiante pro-Palestina en entrevista para obtener la ciudadanía estadounidense;"Un estudiante propalestino de la Universidad de Columbia y titular de una Green Card fue detenido por agentes federales este lunes cuando se presentaba a una entrevista para obtener la ciudadania estadounidense en lo que activistas denuncian como una nueva ofensiva contra la disidencia politica en campus universitarios
Mohsen Mahdawi residente permanente en Estados Unidos desde hace 10 anos y nacido en Cisjordania fue arrestado por agentes de Inmigracion y Control de Aduanas ICE por sus siglas en ingles en las oficinas del Departamento de Seguridad Nacional DHS en Colchester Vermont La detencion ha iniciado su proceso de deportacion marcando un nuevo episodio en la creciente tension entre autoridades federales y estudiantes que lideran protestas propalestinas en Estados Unidos
Newsweek contacto al Departamento de Seguridad Nacional para solicitar comentarios
UNA VOZ VISIBLE EN LAS PROTESTAS
Mahdawi fue uno de los organizadores mas activos de las manifestaciones en el campus de Columbia tras el estallido del conflicto entre Israel y Hamas en octubre de 2023 Ese mismo mes cofundo la Union de Estudiantes Palestinos junto a Mahmoud Khalil otro activista cuya detencion en marzo tambien genero rechazo publico
Segun documentos judiciales Mahdawi ha abogado de forma consistente por una resolucion pacifica entre israelies y palestinos En una ocasion incluso denuncio publicamente un comentario antisemita de un transeunte Su participacion en un reportaje de 60 Minutes sobre antisemitismo en universidades estadounidenses aumento el escrutinio sobre el por parte de grupos que acusan a los activistas propalestinos de simpatizar con Hamas
UNA POLITICA DE DEPORTACION SELECTIVA
La detencion de Mahdawi ocurre en un contexto de acciones dirigidas contra estudiantes propalestinos La organizacion The Intercept informo que Mahdawi se habia mantenido oculto durante la administracion Trump ante la intensificacion de deportaciones selectivas
Su caso refleja un patron similar al de Mahmoud Khalil quien fue declarado deportable por un juez de inmigracion sin haber sido acusado de ningun delito Tambien se han reportado casos como el de Rumeysa Ozturk estudiante de doctorado en la Universidad de Tufts cuya visa fue revocada
El Secretario de Estado Marco Rubio justifico estas medidas como herramientas legales para retirar visas a personas cuyas opiniones contradicen la politica exterior de Estados Unidos una facultad poco utilizada pero ahora aplicada en multiples casos
Su abogada Luna Droubi afirmo en un comunicado enviado a Newsweek
La administracion Trump detuvo a Mahdawi en represalia directa por su activismo en favor de Palestina y por su identidad palestina Su detencion busca silenciar a quienes denuncian los crimenes en Gaza Esto es inconstitucional
Tambien reaccionaron figuras politicas En una declaracion conjunta el senador independiente Bernie Sanders el senador democrata Peter Welch y la representante democrata Becca Balint todos de Vermont afirmaron
Hoy Mahdawi acudio a su cita final para obtener la ciudadania En lugar de eso fue arrestado por individuos armados y encapuchados que no dieron explicacion alguna Esto es inmoral inhumano e ilegal Mahdawi debe recibir el debido proceso y ser liberado de inmediato
QUE SIGUE PARA MOHSEN MAHDAWI
Los abogados de Mahdawi han presentado un recurso de habeas corpus para exigir su liberacion y evitar su traslado a un centro de detencion en Luisiana donde han sido enviados otros activistas en condiciones similares Piden que Mahdawi permanezca en Vermont mientras se resuelve su caso Hasta el momento no se ha programado una audiencia judicial
El caso de Mahdawi reaviva el debate sobre los limites entre la libertad de expresion protegida por la Primera Enmienda y las decisiones discrecionales en materia migratoria especialmente cuando las posturas politicas de los estudiantes entran en conflicto con la narrativa oficial del gobierno de Estados Unidos";14-04-2025;https://es-us.noticias.yahoo.com/ice-detiene-estudiante-pro-palestina-222022609.html
Reacciones en Francia ante eventual reconocimiento de Palestina;"París 10 abr (Prensa Latina) El anuncio del presidente Emmanuel Macron sobre un posible reconocimiento por Francia del Estado palestino en junio motiva hoy diversas reacciones en la clase política desde el apoyo hasta la oposición de la derecha Despues de su regreso de Egipto el mandatario adelanto la vispera el posible reconocimiento de Palestina en el contexto de una conferencia que copresidira en junio junto a Arabia Saudita en Nueva York foro que abordara la situacion del pueblo ocupado por Israel en Cisjordania y bombardeado hasta la destruccion en la Banda de Gaza
Para el expresidente socialista Francois Hollande la decision no deberia ser puramente una declaracion y traducirse en la posibilidad de que los palestinos puedan tener un Estado del que excluyo a Hamas
Si este reconocimiento lleva a que paises que no reconocen a Israel o a Palestina lo hagan entonces vale la pena considero el actual diputado en la cadena RTL
Finalmente Despues de casi dos anos de genocidio en Gaza Francia finalmente considera reconocer al Estado de Palestina 147 paises ya lo han hecho escribio por su parte en X la jefa de la bancada de La Francia Insumisa en la Asamblea Nacional Mathilde Panot
De acuerdo con la diputada el comentario realizado por Macron es el fruto de una dura lucha y exigio que no quede en palabras
La historia nos esta observando sentencio Panot
Tambien el lider de los socialistas Olivier Faure utilizo en la propia red social la frase Finalmente para referirse a los propositos de ayer del presidente frances sobre la posibilidad de reconocer en los proximos meses a Palestina
Hicieron falta mas de 50 mil muertos y 100 mil heridos para que llegara el reconocimiento de Macron y el respaldo a la solucion de dos Estados que ha sido siempre la postura de Francia subrayo
Desde la centro derecha el Movimiento Democrata en voz del parlamentario y exministro Marc Fesneau celebro el anuncio y lo llamo una buena idea
Sin embargo el vicepresidente del partido de extrema derecha Agrupacion Nacional Sebastien Chenu lo tildo de prematuro al opinar en el microfono de LCI que en la practica se estaria reconociendo a Hamas
Tampoco dio su apoyo a la decision el presidente del Senado Gerard Larcher quien manifesto acompanar la solucion de los dos Estados aunque esgrimiendo que no es el momento aun
Para ello deben reunirse las condiciones que permitan ir mas lejos con el reconocimiento de un Estado palestino dijo";10-04-2025;https://www.prensa-latina.cu/2025/04/10/reacciones-en-francia-ante-eventual-reconocimiento-de-palestina/ 
Palestina Resistencia inflige bajas a Israel ataca puesto de mando y un dron / Brigadas Al-Quds se apoderan de 2 drones espías israelíes;"Grupos de la Resistencia palestina apuntan al cuartel general del ejercito israeli en Rafah en el sur de Gaza y derriba otro dron del regimen enemigo
Por medio de un comunicado los combatientes de las Brigadas AlQuds rama militar de la Yihad Islamica Palestina informan que han atacado este domingo con cohetes 107 mm un puesto de mando y de control del ejercito israeli en la zona de Awadallah en el sur de Rafah la ciudad mas meridional de la Franja de Gaza
En otra operacion agrega la nota han lanzado un mortero de 60 mm contra una congregacion de militares israelies y su equipo de combate en la region de Morag situada al norte de Rafah
Mas temprano las Brigadas AlQuds tambien anunciaron que se han hecho con dos cuadricopteros del ejercito sionista cuando realizaban misiones de espionaje en el centro del enclave palestino
Por su parte las Brigadas Abu Ali Mustafa el ala armada del Frente Popular para la Liberacion de Palestina FPLP han derribado un avion no tripulado dron israeli modelo Bombardier mientras realizaba operaciones de inteligencia y hostiles en el este de Gaza
Han afirmado que esta operacion forma parte de la respuesta constante de la Resistencia a los crimenes del regimen de ocupacion contra el pueblo palestino
Ademas los combatientes de las Brigadas Ezzedin AlQassam el brazo armado del Movimiento de Resistencia Islamica de Palestina HAMAS han detonado una casa previamente preparada para tal operacion a la que llegaron miembros de una fuerza israeli especial que se habia infiltrado en el area de Abu alRus al este de Rafah La emboscada ha dejado varios muertos y heridos entre las fuerzas sionistas
Transcurridos 18 meses del inicio de la guerra genocida israeli en Gaza los movimientos de Resistencia palestinos siguen sorprendiendo con ataques a las tropas israelies dentro del enclave y en operaciones con misiles contra ciudades situadas en la profundidad de la Palestina ocupada
La oposicion israeli tacha de un fracaso total la guerra en Gaza y acusa al primer ministro israeli Benjamin Netanyahu de prolongar el conflicto para garantizar su supervivencia politica
Brigadas AlQuds se apoderan de 2 drones espias israelies en Gaza
El brazo armado de la Yihad Islamica Palestina ha incautado dos drones israelies mientras realizaban misiones de espionaje en el centro de la Franja de Gaza
Las Brigadas AlQuds ala militar de la Yihad Islamica han anunciado en un breve comunicado que sus combatientes se han apoderado de dos cuadricopteros israelies mientras recopilaban datos de inteligencia en el centro del enclave costero segun ha informado este domingo la cadena libanesa de noticias Al Mayadeen
La nota sin embargo no proporciona mas detalles sobre la fecha ni el lugar exacto donde los drones han sido confiscados
Esta semana las Brigadas AlQuds reivindicaron tambien un ataque a un tanque israeli en la ciudad de Gaza en el norte de la Franja asediada Mediante un comunicado el grupo dijo que destrozo un carro de combate del ejercito israeli con un artefacto explosivo Saqeb mientras el vehiculo avanzaba profundamente en la ciudad de Gaza
Pasados 18 meses del inicio de la guerra genocida israeli en la Franja de Gaza los movimientos de Resistencia palestinos siguen sorprendiendo a Israel atacando a las tropas israelies desplegadas en el enclave y lanzando operaciones con misiles contra ciudades situadas en la profundidad de la Palestina ocupada";13-04-2025;https://www.resumenlatinoamericano.org/2025/04/13/palestina-resistencia-inflige-bajas-a-israel-ataca-puesto-de-mando-y-un-dron-brigadas-al-quds-se-apoderan-de-2-drones-espias-israelies/ 
